type,id,x,y,z,theta,aiming_at
dir,1,1.991,4.498,-0.849,,s
dir,2,1.523,0.883,-1.229,,n
dir,3,4.287,2.069,-1.199,,w
dir,4,4.619,3.669,-0.769,,w
omni,1,3.651,1.004,-0.973,,
omni,2,0.892,3.013,-0.867,,
omni,3,2.958,4.558,-0.95,,
noise,1,0.96,4.769,-0.916,,
noise,2,0.876,0.868,-0.923,,
noise,3,4.644,0.812,-0.945,,
noise,4,4.692,4.735,-0.926,,
array,1,1.026,3.954,-1.314,21.1,xy
array,2,0.775,2.129,-1.373,250,xy
array,3,2.291,1.669,-1.19,-27,xy
array,4,3.408,2.461,-1.043,57.7,xy
array,5,3.687,3.876,-1.443,226.4,xy
array,6,3.031,3.445,-0.893,143.7,xy
