,array,dataset,target_idx,interf_idx,sir,snr,bf,sar_out,sir_in,snr_in,sdr_in,sir_out,snr_out,sdr_out,pesq_in,pesq_out
0,0.0,0.0,1.0,0.0,0.0,0.0,dpDS,4.438802325946754,2.337077353157647,0.014848665616978066,-2.004178199475636,5.358138303897064,1.2867862718920948,-0.15770541166167829,1.536299228668213,1.8624553680419922
1,0.0,0.0,1.0,0.0,0.0,0.0,rtfMVDR,5.032268496102537,2.337077353157647,0.014848665616978066,-2.004178199475636,2.8550033062285793,14.653561465736118,2.576065851489373,1.536299228668213,2.108651638031006
2,0.0,0.0,1.0,0.0,0.0,0.0,ecoMVDR,-13.731976527627893,2.337077353157647,0.014848665616978066,-2.004178199475636,4.4989507257411265,28.351089816365928,4.481537827454174,1.536299228668213,2.125905752182007
3,0.0,0.0,1.0,0.0,0.0,0.0,rtfLCMV,4.623968673233954,2.337077353157647,0.014848665616978066,-2.004178199475636,6.7759960245247095,9.902775225357493,5.053444505001417,1.536299228668213,2.187594413757324
4,0.0,0.0,1.0,0.0,0.0,0.0,ecoLCMV,-13.402121454706775,2.337077353157647,0.014848665616978066,-2.004178199475636,4.278716430499404,27.03465249857647,4.2572544767586535,1.536299228668213,2.1166110038757324
5,0.0,0.0,1.0,0.0,0.0,10.0,dpDS,4.438802325946754,2.337077353157647,9.999284966796214,1.6500565361964612,5.358138303897064,11.264453477312088,4.367895559254039,1.9632716178894043,2.1978507041931152
6,0.0,0.0,1.0,0.0,0.0,10.0,rtfMVDR,5.203260470385803,2.337077353157647,9.999284966796214,1.6500565361964612,2.592560376949724,23.522802003359715,2.557377031019814,1.9632716178894043,2.122641086578369
7,0.0,0.0,1.0,0.0,0.0,10.0,ecoMVDR,-13.167185108591452,2.337077353157647,9.999284966796214,1.6500565361964612,5.144683335265644,37.762812596442146,5.142220323362389,1.9632716178894043,2.247464656829834
8,0.0,0.0,1.0,0.0,0.0,10.0,rtfLCMV,5.140049838812372,2.337077353157647,9.999284966796214,1.6500565361964612,9.4460355150004,19.640971536689783,9.051385377855402,1.9632716178894043,2.493868589401245
9,0.0,0.0,1.0,0.0,0.0,10.0,ecoLCMV,-13.392633309764111,2.337077353157647,9.999284966796214,1.6500565361964612,4.338200742320924,37.085522194584215,4.33567153818013,1.9632716178894043,2.1713836193084717
