,array,dataset,target_idx,interf_idx,sir,snr,bf,sar_out,sir_in,snr_in,sir_out,snr_out,pesq_in,pesq_out
0,0.0,0.0,0.0,2.0,0.0,0.0,dpDS,-6.091475130280428,1.928654933106574e-15,0.016050812460781428,-0.05917618293298629,4.6726362733194975,1.6148862838745117,1.8168325424194336
1,0.0,0.0,0.0,2.0,0.0,0.0,rtfMVDR,11.971987735961243,1.928654933106574e-15,0.016050812460781428,11.432434658756742,6.621030136836574,1.6148862838745117,1.9582016468048096
2,0.0,0.0,0.0,2.0,0.0,0.0,ecoMVDR,6.053982647084903,1.928654933106574e-15,0.016050812460781428,10.510524730711365,9.300581829099068,1.6148862838745117,2.0858099460601807
3,0.0,0.0,0.0,2.0,0.0,0.0,rtfLCMV,7.977399089382996,1.928654933106574e-15,0.016050812460781428,8.632972019969491,7.999073468132039,1.6148862838745117,1.9599833488464355
4,0.0,0.0,0.0,2.0,0.0,0.0,ecoLCMV,5.963674039370868,1.928654933106574e-15,0.016050812460781428,29.40583802874949,8.793939717981292,1.6148862838745117,2.18131685256958
5,0.0,0.0,0.0,2.0,0.0,10.0,dpDS,-6.091475130280428,1.928654933106574e-15,9.992449515616944,-0.05917618293298629,14.663501532751198,1.9184993505477905,2.059809684753418
6,0.0,0.0,0.0,2.0,0.0,10.0,rtfMVDR,7.400879639025368,1.928654933106574e-15,9.992449515616944,13.152684262852961,19.396168659760736,1.9184993505477905,2.5005242824554443
7,0.0,0.0,0.0,2.0,0.0,10.0,ecoMVDR,6.02253227209958,1.928654933106574e-15,9.992449515616944,10.462677132725794,19.271243901504043,1.9184993505477905,2.4435086250305176
8,0.0,0.0,0.0,2.0,0.0,10.0,rtfLCMV,7.173054468152319,1.928654933106574e-15,9.992449515616944,12.65018014027639,18.630199609540547,1.9184993505477905,2.535936117172241
9,0.0,0.0,0.0,2.0,0.0,10.0,ecoLCMV,5.9213897343044275,1.928654933106574e-15,9.992449515616944,30.63493258513054,18.774872827293734,1.9184993505477905,2.6933250427246094
10,0.0,0.0,0.0,2.0,0.0,20.0,dpDS,-6.091475130280428,1.928654933106574e-15,19.99337288256751,-0.05917618293298629,24.665415029216643,2.0575106143951416,2.152636766433716
11,0.0,0.0,0.0,2.0,0.0,20.0,rtfMVDR,6.2442141068528345,1.928654933106574e-15,19.99337288256751,13.081216798848892,29.267210876232106,2.0575106143951416,2.7030763626098633
12,0.0,0.0,0.0,2.0,0.0,20.0,ecoMVDR,5.954310075006758,1.928654933106574e-15,19.99337288256751,11.433570057857596,29.415784459018546,2.0575106143951416,2.658160448074341
13,0.0,0.0,0.0,2.0,0.0,20.0,rtfLCMV,6.261485920737276,1.928654933106574e-15,19.99337288256751,22.988523662630726,28.67480670707627,2.0575106143951416,3.2287423610687256
14,0.0,0.0,0.0,2.0,0.0,20.0,ecoLCMV,5.773978013126996,1.928654933106574e-15,19.99337288256751,23.543794739826538,29.004657295428675,2.0575106143951416,3.2034249305725098
